Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Sole Fusion,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109473220/sole-fusion,3.9,-1,Trad,5.10c,5,600,43.75526,-74.46058
Kingdom Come,The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105983183/kingdom-come,3.7,-1,"Sport, Aid",5.12a A0,4,270,44.13223,-73.74423
Critical Crimps,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106532800/critical-crimps,3.9,-1,Trad,5.10a,1,125,43.5431,-73.95414
Reach For The Sky,Right End > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106445036/reach-for-the-sky,3.3,-1,Trad,-5.10,1,70,44.06109,-73.66381
It's Only Entertainment,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106306126/its-only-entertainment,4.0,-1,Trad,5.11d,1,90,44.1454,-73.75082
"The Good, The Bad, and The Ugly",Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107815082/the-good-the-bad-and-the-ugly,3.1,-1,Trad,5.8,1,140,44.06109,-73.66381
Breaking Bad,Neanderthal Cave > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108191645/breaking-bad,3.0,-1,Sport,5.8,1,70,43.55944,-73.60333
Cirrhosis,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106067919/cirrhosis,3.6,-1,Trad,5.9,2,150,44.40783,-73.50371
Amphitheatre Crack,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107230729/amphitheatre-crack,3.7,-1,Trad,5.9,1,125,43.5431,-73.95414
The Eagle Has Landed,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/108328512/the-eagle-has-landed,3.7,-1,Sport,5.10c,1,,43.9051,-75.1959
Groovitational Pull,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107804670/groovitational-pull,3.7,-1,Trad,5.10a,2,260,44.5173,-73.7984
The Disputed,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106503831/the-disputed,2.7,-1,Trad,5.8,1,60,44.23598,-73.86449
Positive Latitude,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107667139/positive-latitude,3.8,-1,Sport,5.10b,2,320,44.5173,-73.7984
Raging Raven,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/105990776/raging-raven,3.6,-1,Sport,5.11b,1,80,44.23598,-73.86449
Wake and Bake,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107884609/wake-and-bake,2.9,-1,Sport,5.10a/b,2,170,43.5605,-73.60366
Raw Tips,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106768416/raw-tips,2.7,-1,Sport,5.10b,1,80,44.127,-73.7236
Gob Hoblin,The Creature Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106867377/gob-hoblin,2.1,-1,Trad,5.7,1,90,44.1411,-73.74312
Menace To Sobriety,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106067924/menace-to-sobriety,3.5,-1,Sport,5.10d,1,80,44.40783,-73.50371
Dacker Cracker,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106069664/dacker-cracker,3.0,-1,"Trad, TR",5.10c,1,50,44.1454,-73.75082
The Gong Show,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107884575/the-gong-show,3.1,-1,Trad,-5.9,1,100,43.5605,-73.60366
Casual Observer,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106073466/casual-observer,3.6,-1,Trad,5.11a,2,200,44.40783,-73.50371
Oddy's Crack of Horror,TeePee Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106894183/oddys-crack-of-horror,3.5,-1,Trad,5.10b,1,50,43.5378,-73.9677
Black Arch Arête,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106283308/black-arch-arete,4.0,-1,Trad,5.10b PG13,1,120,43.5431,-73.95414
Devo,Neanderthal Cave > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108191600/devo,2.9,-1,Sport,5.8,1,95,43.55944,-73.60333
Piece Out,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/108373424/piece-out,3.4,-1,Sport,5.9,2,170,44.5173,-73.7984
Fast and Furious,Live Free or Die Area > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107301882/fast-and-furious,2.5,-1,Trad,5.8,1,55,44.14423,-73.75733
Pegasus,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106078785/pegasus,2.9,-1,Trad,5.8+ PG13,2,150,44.14472,-73.75802
Star Sailor,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106511334/star-sailor,3.3,-1,Trad,5.10c,1,70,44.23598,-73.86449
Lloyds of Lowville,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107776662/lloyds-of-lowville,3.4,-1,Sport,5.10a,1,90,43.9051,-75.1959
Family Jewels,Jewels and Gems > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106492328/family-jewels,2.1,-1,Trad,5.8,1,65,44.13591,-73.73993
Butterflies are Free,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106534685/butterflies-are-free,2.9,-1,Trad,5.9,1,130,44.14256,-73.7438
Zabba,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106545002/zabba,4.0,-1,Trad,5.13a PG13,1,80,44.1454,-73.75082
Spelunking,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107564707/spelunking,3.2,-1,Trad,5.10a/b,1,45,43.2608,-74.5222
Seventeen,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107776676/seventeen,3.1,-1,Trad,5.7,1,100,43.9051,-75.1959
Equis,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107114275/equis,2.4,-1,"Trad, TR",-5.8,1,100,44.14472,-73.75802
Scallion,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106051372/scallion,3.3,-1,Trad,5.10a PG13,1,100,44.40783,-73.50371
Live Free or Die,Live Free or Die Area > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107303312/live-free-or-die,2.4,-1,"Trad, TR",5.10a,1,40,44.14423,-73.75733
Forever Wild,Hurricane Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106852529/forever-wild,3.5,-1,Trad,5.10c,1,100,44.21541,-73.69944
C-Tips,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/109201052/c-tips,3.6,-1,Sport,5.10c,1,100,44.40783,-73.50371
Long Play,Long Play Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107185274/long-play,3.8,-1,Trad,5.10a PG13,1,115,43.5378,-73.9677
Freak Gasoline Fight Accident,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/109345965/freak-gasoline-fight-accident,2.6,-1,Sport,5.8,1,80,44.127,-73.7236
Stand Your Ground,Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/108450251/stand-your-ground,3.2,-1,Trad,5.7,1,105,43.5378,-73.9677
WMP,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107863713/wmp,2.6,-1,Sport,5.7,1,100,44.127,-73.7236
Coffee Achievers,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106903565/coffee-achievers,3.7,-1,Trad,5.10b,1,100,44.23598,-73.86449
The Old Route,Rooster Comb Mtn > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/107889415/the-old-route,3.0,-1,Trad,5.5,4,420,44.17222,-73.81153
California Flake,Mt Colden > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/110747840/california-flake,3.7,-1,Trad,5.9+ PG13,8,870,44.12813,-73.95962
Prey Tell,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/113763032/prey-tell,3.3,-1,Sport,5.9,1,100,43.9051,-75.1959
Ravenous,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/108328489/ravenous,3.8,-1,Sport,5.11a/b,1,75,43.9051,-75.1959
Naked Truth,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107540380/naked-truth,2.9,-1,"Trad, TR",5.9,1,60,43.9051,-75.1959
Johnny Tsunami,The Big Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108211357/johnny-tsunami,3.3,-1,Sport,5.10b,1,90,43.55905,-73.60329
The Snatch,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106568489/the-snatch,3.5,-1,Trad,5.10b PG13,2,230,44.40783,-73.50371
Sundance,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106444987/sundance,2.8,-1,Trad,5.9,1,70,44.06109,-73.66381
Redneck on a Rope,Snowy Mt > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107683340/redneck-on-a-rope,4.0,-1,Trad,5.10,1,180,43.69963,-74.38656
Fear of touching Aerie,Moss Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/108332377/fear-of-touching-aerie,3.8,-1,Trad,5.10c,4,350,44.34048,-73.89977
Buffalo Bob,Right End > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/110708460/buffalo-bob,2.8,-1,Trad,5.7,1,70,44.06109,-73.66381
Broken Broom,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107375349/broken-broom,3.4,-1,Trad,5.10a,1,70,43.5431,-73.95414
Prelude,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106595177/prelude,2.8,-1,Trad,5.8,1,100,44.14256,-73.7438
Three Degrees Of Separation,Carhartt Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108195670/three-degrees-of-separation,3.6,-1,Trad,5.10a,1,100,43.55552,-73.60298
Mean Sister,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/112004995/mean-sister,3.5,-1,"Trad, TR",5.10b,1,70,43.2608,-74.5222
Green Mountain Boys,Summit Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/112252593/green-mountain-boys,3.8,-1,Trad,5.10a,1,70,44.516,-73.81299
Earthly Night,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106051378/earthly-night,3.7,-1,Sport,5.11b,3,270,44.40783,-73.50371
Jump Bat Crack,The Creature Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106066644/jump-bat-crack,2.2,-1,Trad,-5.8,1,80,44.1411,-73.74312
Oracle,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110644859/oracle,3.1,-1,Sport,5.10c,1,70,43.56076,-73.5939
Diva,Neanderthal Cave > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108191611/diva,2.8,-1,Sport,5.10a,1,95,43.55944,-73.60333
Neutron Brew,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/108133882/neutron-brew,3.4,-1,Trad,5.10b,1,130,44.14338,-73.75578
Where the Wild Things Are,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/108373472/where-the-wild-things-are,3.5,-1,Trad,5.10b,3,330,44.5173,-73.7984
Cool Like Dat,Underwood Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/118181625/cool-like-dat,3.9,-1,Sport,5.12c/d,1,100,44.08727,-73.68867
Christine,The Creature Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106058973/christine,3.2,-1,Trad,5.10b,1,90,44.1411,-73.74312
Little Finger Direct,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/106092527/little-finger-direct,3.6,-1,Trad,5.7 X,4,700,43.7974,-73.46669
Rule of the Bone,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106895066/rule-of-the-bone,3.6,-1,Trad,5.10c,1,100,44.25695,-73.8634
Once in a Lifetime,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107804680/once-in-a-lifetime,4.0,-1,Sport,5.10d,1,120,44.5173,-73.7984
My Generation,Hurricane Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107170413/my-generation,3.4,-1,Trad,5.10c,3,280,44.21541,-73.69944
Brazilian,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/108360947/brazilian,3.9,-1,Trad,5.10b,3,250,44.5173,-73.7984
Tears of Gaia,C Chimney Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107671019/tears-of-gaia,3.9,-1,Trad,5.10b,2,150,44.5208,-73.8243
Poker Face,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107830645/poker-face,3.2,-1,Sport,5.9,2,210,44.5173,-73.7984
Sub Dude,Neanderthal Cave > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108191844/sub-dude,2.1,-1,Sport,5.7,1,70,43.55944,-73.60333
Freedom Flight,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/110522914/freedom-flight,4.0,-1,Trad,5.10b PG13,3,420,44.40783,-73.50371
Buck Fever,Lost Hunters > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/114546595/buck-fever,4.0,-1,Sport,5.12c,1,80,43.27049,-74.51824
Southern Hospitality p1,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106538161/southern-hospitality-p1,4.0,-1,Trad,5.11d,1,140,44.40783,-73.50371
Weekend Warrior,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106923798/weekend-warrior,3.4,-1,Sport,5.10,1,80,44.14256,-73.7438
